Section,Subsection,Name,Cost (MiB),Description
games,finest,supertuxkart,650,"3D arcade racer with a variety of characters, tracks, and modes to play"
games,finest,tecnoballz,10,breaking block game ported from the Amiga platform
games,finest,teeworlds,9,online multi-player platform 2D shooter
games,finest,torcs,320,3D racing cars simulator game using OpenGL
games,finest,torus-trooper,16,speeding ship sailing through barrage
games,finest,tuxfootball,24,great 2D soccer (sometimes called football) game
games,finest,tuxmath,19,math game for kids with Tux
games,finest,tuxpuck,2,air hockey game for single players
games,finest,ufoai,1100,UFO: Alien Invasion -- build your team and stop the aliens
games,finest,unknown-horizons,250,2D realtime strategy simulation
games,finest,warmux,110,turn-based artillery game on 2D maps
games,finest,warzone2100,60,3D real time strategy game
games,finest,wesnoth,270,fantasy turn-based strategy game - complete suite (metapackage)
games,finest,widelands,350,fantasy real-time strategy game
games,finest,xmoto,46,2D motocross platform game
games,fps,adanaxisgpl,N/A,N/A
games,fps,bzflag-client,11,3D first person tank battle game -- client
games,fps,crispy-doom,8,Limit-raising medium-resolution Doom engine based on Chocolate Doom
games,fps,cube2-data,180,demo game and content for the Cube2 engine
games,fps,deutex,1,composition tool for doom-style WAD files
games,fps,doomsday,43,enhanced version of the legendary DOOM game
games,fps,enemylines3,11,semi-abstract first person 3d-shooter game
games,fps,enemylines7,9,first person 3d-shooter game
games,fps,eureka,2,map editor for the classic DOOM games
games,fps,ezquake,2,modern QuakeWorld client
games,fps,freedm,15,multiplayer deathmatch game for Doom-compatible engines
games,fps,freedoom,23,two single player campaigns for Doom-compatible engines
games,fps,nexuiz,700,Fast-paced 3D first-person shooter
games,fps,openarena,410,fast-paced 3D first-person shooter
games,fps,quakespasm,2,engine for iD software's Quake
games,fps,rbdoom3bfg,6,Doom3 BFG edition game engine
games,fps,redeclipse,840,"free, casual arena shooter"
games,fps,teeworlds,9,online multi-player platform 2D shooter
games,minesweeper,ace-of-penguins,1,penguin-themed solitaire games
games,minesweeper,aptitude,5,terminal-based package manager
games,minesweeper,freesweep,1,text-based minesweeper
games,minesweeper,gnome-mines,1,popular minesweeper puzzle game for GNOME
games,minesweeper,kmines,21,minesweeper game
games,minesweeper,sgt-puzzles,2,Simon Tatham's Portable Puzzle Collection - 1-player puzzle games
games,minesweeper,xbomb,1,"'minesweeper' game with squares, hexagons or triangles"
games,minesweeper,xdemineur,1,Yet another minesweeper for X
games,platform,abe,11,"side-scrolling game named ""Abe's Amazing Adventure"""
games,platform,alex4,2,Alex the Allegator 4 - a retro platform game
games,platform,amphetamine,2,jump'n run game with unique visual effects
games,platform,asylum,9,surreal platform shooting game
games,platform,ballz,1,B.A.L.L.Z. - platform/puzzle game where you control a rolling ball
games,platform,between,2,game about consciousness and isolation
games,platform,blobandconquer,27,3D platform shooting game
games,platform,blobwars,69,platform shooting game
games,platform,caveexpress,21,2D platformer with physics-based gameplay
games,platform,ddnet,15,Teeworlds modification with a unique cooperative gameplay
games,platform,edgar,N/A,N/A
games,platform,gnujump,10,platform game where you have to jump up to survive
games,platform,holotz-castle,11,platform game with high doses of mystery
games,platform,jumpnbump,15,cute multiplayer platform game with bunnies
games,platform,jumpnbump-levels,15,cute multiplayer platform game with bunnies (extra levels)
games,platform,mazeofgalious,16,The Maze of Galious
games,platform,nikwi,2,platform game where your goal is to collect candies
games,platform,oneisenough,12,2D platform game about the epic struggle of balls
games,platform,pachi,11,Platform game featuring Pachi el marciano
games,platform,pekka-kana-2,12,2D Oldschool platform game where you control a rooster
games,platform,plee-the-bear,42,2D platform game
games,platform,seahorse-adventures,20,help Barbie the seahorse float on bubbles to the moon
games,platform,supertux,150,Classic 2D jump 'n run sidescroller with Tux
games,platform,toppler,10,"clone of the ""Nebulus"" game on old 8 and 16 bit machines"
games,platform,whichwayisup,13,2D platform game with a slight rotational twist
games,platform,xjump,1,jumping game for X
games,platform,xmoto,46,2D motocross platform game
games,platform,xscavenger,1,Lode-runner-like platform game for X
games,programming,basic256,3,educational BASIC programming environment for children
games,programming,colobot,89,educational programming strategy game
games,programming,laby,ERROR,Learn how to program with ants and spider webs
games,programming,robocode,40,Java programming game based on battle tanks
games,puzzle,2048,1,Slide and add puzzle game for text mode
games,puzzle,2048-qt,6,mathematics based puzzle game
games,puzzle,ace-of-penguins,1,penguin-themed solitaire games
games,puzzle,amoebax,17,Puyo Puyo-style puzzle game for up to two players
games,puzzle,atom4,1,Original two-player color puzzle game
games,puzzle,atomix,1,puzzle game for building molecules out of separate atoms
games,puzzle,auralquiz,1,simple music quiz game using your own music files
games,puzzle,berusky,6,Logic game based on Sokoban
games,puzzle,berusky2,540,logic game Bugs Escape 3D
games,puzzle,between,2,game about consciousness and isolation
games,puzzle,biniax2,11,logic game with arcade and tactics modes
games,puzzle,black-box,9,Find the crystals
games,puzzle,blockattack,14,puzzle game inspired by Tetris
games,puzzle,blocks-of-the-undead,10,Tetris Attack clone with spooky undertones
games,puzzle,brainparty,22,36 puzzle games for all the family
games,puzzle,bsdgames,ERROR,collection of classic textual unix games
games,puzzle,cavepacker,12,sokoban game with network based multiplayer gaming
games,puzzle,chroma,N/A,N/A
games,puzzle,connectagram,2,word unscrambling game
games,puzzle,einstein,10,Puzzle game inspired on Einstein's puzzle
games,puzzle,enigma,41,Game where you control a marble with the mouse
games,puzzle,fillets-ng,76,puzzle game about witty fish saving the world sokoban-style
games,puzzle,fltk1.3-games,1,"Fast Light Toolkit - example games: checkers, sudoku"
games,puzzle,freealchemist,12,simpler figure block game
games,puzzle,freesweep,1,text-based minesweeper
games,puzzle,gbrainy,21,brain teaser game and trainer to have fun and to keep your brain trained
games,puzzle,gcompris,78,transitional package for gcompris-qt
games,puzzle,gfpoken,1,Recreate a grid of mirrors from clues given by tests
games,puzzle,glpeces,3,Tangram (puzzle) game clone
games,puzzle,gmult,1,figure out which letters are which numbers
games,puzzle,gnome-games,18,games for the GNOME desktop
games,puzzle,gnome-mahjongg,3,classic Eastern tile game for GNOME
games,puzzle,gnubik,6,3D Rubik's cube game
games,puzzle,gnurobbo,12,logic game ported from ATARI XE/XL
games,puzzle,gplanarity,1,simple puzzle game involving untangling planar graphs
games,puzzle,greed,1,curses-based clone of the DOS free-ware game Greed
games,puzzle,groundhog,1,simple logic game
games,puzzle,gtans,1,Tangram (puzzle) game using GTK+
games,puzzle,gtkballs,1,simple logic game
games,puzzle,gweled,N/A,N/A
games,puzzle,hex-a-hop,17,puzzle game based on hexagonal tiles
games,puzzle,hexalate,1,Color matching puzzle
games,puzzle,hitori,1,logic puzzle game similar to sudoku
games,puzzle,jag,9,arcade and puzzle 2D game
games,puzzle,jigzo,12,Photo puzzle game for children
games,puzzle,kball,7,game of skill and reflexes for all the family
games,puzzle,kdegames,140,games from the official KDE release
games,puzzle,kiki-the-nano-bot,N/A,N/A
games,puzzle,lightsoff,2,Light puzzle game
games,puzzle,lix,21,Puzzle game inspired by Lemmings
games,puzzle,lmarbles,9,game where you build figures out of colored marbles
games,puzzle,miceamaze,21,video game with mice in a maze
games,puzzle,mirrormagic,8,Shoot around obstacles to collect energy using your beam.
games,puzzle,mokomaze,3,Ball in labyrinth game for the OpenMoko FreeRunner
games,puzzle,monsterz,13,arcade puzzle game
games,puzzle,numptyphysics,2,crayon based physics puzzle game
games,puzzle,pathogen,9,Puzzle game about matching 3D model structures
games,puzzle,pathological,20,puzzle game involving paths and marbles
games,puzzle,phlipple,11,reduce 3D shapes to a single square
games,puzzle,pipenightdreams,3,connect pipes to get the water flowing from inlet to outlet
games,puzzle,pipewalker,2,combination puzzle game
games,puzzle,primrose,2,compelling tile-placement puzzle game
games,puzzle,pushover,12,Fun puzzle game with dominos
games,puzzle,puzzle-jigsaw,2,tile puzzle game
games,puzzle,pybik,12,Rubik's cube game
games,puzzle,qxw,1,advanced interactive crossword construction tool
games,puzzle,raincat,19,2D puzzle game featuring a fuzzy little cat
games,puzzle,sgt-puzzles,2,Simon Tatham's Portable Puzzle Collection - 1-player puzzle games
games,puzzle,sudoku,1,console based sudoku
games,puzzle,sudoku-solver,1,sudoku puzzles solver
games,puzzle,tanglet,9,single player word finding game based on Boggle
games,puzzle,tetzle,1,Jigsaw puzzle game
games,puzzle,texlive-games,57,TeX Live: Games typesetting
games,puzzle,tworld,2,Chip's Challenge Game Engine Emulation
games,puzzle,vodovod,9,"puzzle game, you must lead the water to the storage tank"
games,puzzle,wizznic,24,implementation of the arcade classic Puzznic
games,puzzle,xbomb,1,"'minesweeper' game with squares, hexagons or triangles"
games,puzzle,xdemineur,1,Yet another minesweeper for X
games,puzzle,xjig,8,X11 jigsaw puzzle
games,puzzle,xmpuzzles,2,collection of puzzles for X (Motif version)
games,puzzle,xshisen,2,Shisen-sho puzzle game for X11
games,puzzle,xsok,1,generic Sokoban game for X11
games,puzzle,xye,4,puzzle game - get all the gems in the room
games,puzzle,zaz,11,arcade action puzzle game
games,racing,antigravitaattori,4,Multiplayer flying saucer racing game
games,racing,armagetronad,3,3D Tron-like high speed game
games,racing,bloboats,3,Boat racing game
games,racing,dustracing2d,6,tile-based 2D racing game
games,racing,extremetuxracer,41,"3D racing game featuring Tux, the Linux penguin"
games,racing,gltron,5,3D lightcycle game
games,racing,pink-pony,21,3D racing game with ponies
games,racing,pyracerz,16,multiplayer top view 2D racing game
games,racing,stormbaancoureur,4,simulated obstacle course for automobiles
games,racing,supertuxkart,650,"3D arcade racer with a variety of characters, tracks, and modes to play"
games,racing,torcs,320,3D racing cars simulator game using OpenGL
games,racing,trigger-rally,120,3D rally car racing game
games,racing,trophy,13,2D car racing action game
games,racing,xmoto,46,2D motocross platform game
games,racing,xracer,3,Futuristic racing game
games,rogue,allure,6,near-future Sci-Fi roguelike and tactical squad game
games,rogue,angband,12,"Single-player, text-based, dungeon simulation game"
games,rogue,boohu,2,Break Out Of Hareka's Underground -- a roguelike game
games,rogue,cataclysm-dda-sdl,33,post-apocalyptic roguelike game - SDL interface
games,rogue,crawl,6,"Dungeon Crawl, a text-based roguelike game"
games,rogue,gearhead,4,"roguelike mecha role playing game, console version"
games,rogue,gearhead2,10,roguelike mecha role playing game in space
games,rogue,hearse,10,exchange Nethack bones files with other players
games,rogue,hyperrogue,11,non-euclidean graphical rogue-like game
games,rogue,lambdahack,6,tactical squad ASCII roguelike dungeon crawler game engine
games,rogue,meritous,10,action-adventure dungeon crawl game
games,rogue,moria,1,"Rogue-like game with an infinite dungeon, also known as umoria"
games,rogue,nethack-x11,3,dungeon crawl game - X11 interface
games,rogue,omega-rpg,1,text-based roguelike game
games,rogue,slashem,2,variant of Nethack
games,rpg,adonthell,7,2D graphical roleplaying game
games,rpg,ardentryst,35,"Action/RPG sidescoller, focused on story and character development"
games,rpg,bsdgames,ERROR,collection of classic textual unix games
games,rpg,crossfire-client,9,Client for the multiplayer roguelike Crossfire
games,rpg,ember,N/A,N/A
games,rpg,flare-game,130,fantasy single-player 2D action role-playing game
games,rpg,freedink,64,humorous top-down adventure and role-playing game
games,rpg,freedroidrpg,220,Isometric RPG influenced by Paradroid
games,rpg,gm-assistant,2,Game Master assistant for role-playing games
games,rpg,kildclient,8,powerful MUD client with a built-in Perl interpreter
games,rpg,magicmaze,14,rescue the maiden while avoiding the monsters
games,rpg,manaplus,11,Extended client for Evol Online and The Mana World
games,rpg,minetest,12,Multiplayer infinite-world block sandbox
games,rpg,openmw,63,Open-world RPG game engine
games,rpg,openmw-cs,61,Content editor for use with OpenMW
games,rpg,rolldice,1,virtual dice roller
games,rpg,slashem,2,variant of Nethack
games,shootemup,alienblaster,14,Classic 2D shoot 'em up
games,shootemup,barrage,9,Rather destructive action game
games,shootemup,chromium-bsu,4,"fast paced, arcade-style, scrolling space shooter"
games,shootemup,criticalmass,11,Shoot-em-up a la galaxian
games,shootemup,dangen,2,shoot 'em up game where accurate shooting matters
games,shootemup,dodgindiamond2,9,Little shoot-'em-up arcade game for one or two players
games,shootemup,excellent-bifurcation,2,abstract vertical shooter with two sides to play on
games,shootemup,freedroid,14,Clone of Paradroid - a strategic shoot-em up
games,shootemup,funnyboat,17,side scrolling arcade shooter game on a steamboat
games,shootemup,geki2,1,Xenon-like vertical shoot'em-up
games,shootemup,geki3,1,R-Type-like horizontal shoot'em-up
games,shootemup,gravitywars,2,clone of Gravity Force
games,shootemup,gunroar,15,360-degree gunboat shooter
games,shootemup,ii-esu,10,shooter game
games,shootemup,ketm,3,old school 2D-scrolling shooter
games,shootemup,kraptor,10,Classic shoot 'em up scroller game
games,shootemup,maelstrom,2,Arcade-style game resembling Asteroids
games,shootemup,marsshooter,71,ridiculous space shooter governed by the laws of gravity
games,shootemup,mu-cade,15,"physics centipede invasion, smashup waggly shmup"
games,shootemup,noiz2sa,16,abstract arcade shooter
games,shootemup,open-invaders,4,Space Invaders clone
games,shootemup,overgod,2,bi-directional scrolling arcade game
games,shootemup,parsec47,14,retromodern hispeed shmup
games,shootemup,piu-piu,1,Horizontal scroller game in bash for cli.
games,shootemup,powermanga,18,vertical shoot 'em up with colourful 3D graphics
games,shootemup,projectl,10,sword action shooting
games,shootemup,rafkill,6,vertical shoot'em-up similar to Raptor: Call of the Shadows
games,shootemup,rockdodger,9,Fly through an asteroid field avoiding rocks and greeblies
games,shootemup,rrootage,12,arcade-style space shooting game
games,shootemup,sopwith,2,port of the 1980's side-scrolling WWI dogfighting game
games,shootemup,starfighter,54,2D scrolling shooter game
games,shootemup,supertransball2,9,Thrust type of game
games,shootemup,tatan,10,pointing STG shooter game
games,shootemup,tenmado,2,hard-core shoot 'em up game in blue-or-red world
games,shootemup,titanion,14,strike down super high-velocity swooping insects
games,shootemup,torus-trooper,16,speeding ship sailing through barrage
games,shootemup,transcend,1,"retro-style, abstract 2D shooter"
games,shootemup,triplane,10,side-scrolling dogfighting game
games,shootemup,tumiki-fighters,14,sticky 2D shooter
games,shootemup,val-and-rick,11,shooter game
games,shootemup,viruskiller,11,Game about viruses invading your computer
games,shootemup,wing,1,Galaga-like arcade game
games,shootemup,wordwarvi,9,retro-styled side-scrolling shoot'em up arcade game
games,shootemup,xgalaga,1,X version of the famous Galaga game
games,shootemup,xgalaga++,1,"classic single screen vertical shooter, inspired by xgalaga"
games,shootemup,xinv3d,1,3D space invaders for X
games,shootemup,xsoldier,2,"shoot 'em up game with the ""not shooting"" bonus"
games,simulation,acm,1,Multi-player classic aerial combat simulation
games,simulation,billard-gl,1,3D billiards game
games,simulation,bsdgames,ERROR,collection of classic textual unix games
games,simulation,bzflag-client,11,3D first person tank battle game -- client
games,simulation,crrcsim,8,Model-Airplane Flight Simulator
games,simulation,csmash,10,"CannonSmash, a table tennis simulation game"
games,simulation,cultivation,1,game about the interactions within a gardening community
games,simulation,flightgear,1900,Flight Gear Flight Simulator
games,simulation,foobillardplus,31,3D OpenGL Billiard Game
games,simulation,gl-117,11,action flight simulator
games,simulation,gtkpool,1,simple pool billiard game written with GTK+
games,simulation,lightspeed,1,Shows how objects moving at relativistic speeds look like
games,simulation,lincity,1,build & maintain a city/country
games,simulation,lincity-ng,54,City simulator game with polished graphics
games,simulation,micropolis,11,real-time city management simulator
games,simulation,netrek-client-cow,10,client for netrek online game
games,simulation,opencity,16,3D city simulator game
games,simulation,openssn,14,modern submarine tactical simulator
games,simulation,openttd,6,reimplementation of Transport Tycoon Deluxe with enhancements
games,simulation,pinball,13,Emilia Pinball Emulator
games,simulation,pmars,1,"Portable MARS, Core War simulator"
games,simulation,robotfindskitten,1,Zen Simulation of robot finding kitten
games,simulation,searchandrescue,46,fly aircraft to search (for) and rescue people in distress
games,simulation,simutrans,13,transportation simulator
games,simulation,singularity,13,game where one becomes the singularity
games,simulation,stormbaancoureur,4,simulated obstacle course for automobiles
games,sport,asciijump,1,Small and funny ASCII-art game about ski jumping
games,sport,blobby,2,Volleyball game with blobs
games,sport,bygfoot,ERROR,football (a.k.a soccer) management game
games,sport,csmash,10,"CannonSmash, a table tennis simulation game"
games,sport,etw,6,arcade-style soccer game
games,sport,freetennis,15,Free Tennis - simulation game
games,sport,gav,2,GPL Arcade Volleyball
games,sport,neverputt,23,3D miniature golf game
games,sport,slimevolley,2,unrealistic 2D volleyball simulation
games,sport,tennix,10,2D tennis game
games,sport,tuxfootball,24,great 2D soccer (sometimes called football) game
games,sport,tuxpuck,2,air hockey game for single players
games,strategy,0ad,700,Real-time strategy game of ancient warfare
games,strategy,7kaa,32,Seven Kingdoms Ancient Adversaries: real-time strategy game
games,strategy,asc,42,turn-based strategy game
games,strategy,atanks,5,tank-battling game
games,strategy,biloba,11,turn based strategy board game for up to 4 players
games,strategy,boswars,73,futuristic real-time strategy game
games,strategy,bygfoot,ERROR,football (a.k.a soccer) management game
games,strategy,colobot,89,educational programming strategy game
games,strategy,crimson,9,hex-based tactical game
games,strategy,curseofwar,1,Fast-paced  action  strategy  game for Linux based on ncurses
games,strategy,dopewars,9,drug-dealing game set in streets of New York City
games,strategy,empire,1,war game of the century
games,strategy,endless-sky,69,space exploration and combat game
games,strategy,freeciv,28,Civilization turn based strategy game
games,strategy,freecol,73,open source remake of the old Colonization
games,strategy,freeorion,130,turn-based space empire and galactic conquest game
games,strategy,gbatnav,1,networked BattleShip game
games,strategy,gigalomania,29,Mega-Lo-Mania-like god game
games,strategy,glob2,12,innovative Real Time Strategy game
games,strategy,hedgewars,160,"Funny turn-based artillery game, featuring fighting hedgehogs!"
games,strategy,ironseed,11,science-fiction exploration/strategy adventure game in space
games,strategy,lgeneral,10,strategy game in the tradition of Panzer General
games,strategy,lightyears,N/A,N/A
games,strategy,liquidwar,4,truly original multiplayer wargame
games,strategy,lordsawar,25,Clone of the popular SSG game Warlords II
games,strategy,megaglest,ERROR,3D multi-player real time strategy game
games,strategy,naev,350,2D action/rpg space game
games,strategy,netpanzer,17,online multiplayer tactical warfare game
games,strategy,netrek-client-cow,10,client for netrek online game
games,strategy,ogamesim,1,Console Ogame Simulator
games,strategy,openclonk,120,"multiplayer game of strategy, action and skill"
games,strategy,openttd,6,reimplementation of Transport Tycoon Deluxe with enhancements
games,strategy,pax-britannica,9,one-button multi-player real-time strategy game
games,strategy,pingus,20,Free Lemmings(TM) clone
games,strategy,pioneers,4,Settlers of Catan board game
games,strategy,planetblupi,86,Planet Blupi - A delirious spell-binding game
games,strategy,qonk,4,Small build-and-conquer strategy game with very simple rules
games,strategy,singularity,13,game where one becomes the singularity
games,strategy,snowballz,N/A,N/A
games,strategy,spacezero,5,"Real Time Strategy 2D space combat, multiplayer net game."
games,strategy,spring,15,modern full-3D RTS game engine
games,strategy,springlobby,15,single/multiplayer lobby for the Spring RTS engine
games,strategy,teg,3,Turn based strategy game
games,strategy,triplea,55,Turn based strategy game
games,strategy,ufoai,1100,UFO: Alien Invasion -- build your team and stop the aliens
games,strategy,unknown-horizons,250,2D realtime strategy simulation
games,strategy,warmux,110,turn-based artillery game on 2D maps
games,strategy,warzone2100,60,3D real time strategy game
games,strategy,wesnoth,270,fantasy turn-based strategy game - complete suite (metapackage)
games,strategy,widelands,350,fantasy real-time strategy game
games,strategy,xfrisk,1,Server and X11 client for playing risk with humans or AIs
games,strategy,xscorch,2,Clone of Scorched Earth
games,strategy,zec,5,Z-Shell Empire client
games,tetris,angrydd,16,Angry Drunken Dwarves - falling blocks puzzle game
games,tetris,bastet,1,ncurses Tetris clone with a bastard algorithm
games,tetris,blockout2,13,Tetris like game (3D-tetris)
games,tetris,crack-attack,9,"multiplayer OpenGL puzzle game like ""Tetris Attack"""
games,tetris,cuyo,12,Tetris-like game with very impressive effects
games,tetris,flobopuyo,10,Clone of the PuyoPuyo game
games,tetris,freealchemist,12,simpler figure block game
games,tetris,frozen-bubble,38,cool game where you pop out the bubbles!
games,tetris,galois,1,falling blocks game with blocks of various shapes and sizes
games,tetris,gemdropx,9,Gem Drop X is an interesting one-player puzzle game for X11
games,tetris,gtetrinet,1,multiplayer tetris-like game
games,tetris,kblocks,22,falling blocks game
games,tetris,ltris,9,very polished Tetris clone with CPU opponents
games,tetris,netris,1,"free, networked version of T*tris"
games,tetris,petris,1,Peter's Tetris - a Tetris(TM) clone
games,tetris,quadrapassel,2,"popular Russian game, similar to Tetris"
games,tetris,stax,2,collection of puzzle games similar to Tetris Attack
games,tetris,termtris,N/A,N/A
games,tetris,tetrinet-client,1,"textmode client for tetrinet, a multiplayer tetris-like game"
games,tetris,tetrinetx,1,game server for Tetrinet
games,tetris,tint,1,Tetris clone for text based terminal
games,tetris,vitetris,1,Virtual terminal *tris clone
games,tetris,xbubble,6,A nice Puzzle Bubble clone
games,tetris,xwelltris,2,3D Tetris like popular game similar to Welltris
games,toys,an,1,very fast anagram generator
games,toys,animals,1,Traditional AI animal guessing engine using a binary tree DB
games,toys,bambam,12,keyboard mashing and doodling game for babies
games,toys,bb,3,ASCII-art demo based on AAlib
games,toys,bucklespring,10,Nostalgia bucklespring keyboard sound
games,toys,cbonsai,N/A,N/A
games,toys,cmatrix,1,"simulates the display from ""The Matrix"""
games,toys,cowsay,8,configurable talking cow
games,toys,dadadodo,1,exterminates all rational thought
games,toys,filters,1,"collected filters, including B1FF and the Swedish Chef"
games,toys,floatbg,1,slowly modify the color of the X root window
games,toys,fortunate.app,22,Display a quotation (fortune) in a window for GNUstep
games,toys,fortune-mod,1,provides fortune cookies on demand
games,toys,fortunes-debian-hints,1,Debian Hints for fortune
games,toys,geekcode,1,Program for generating geekcode
games,toys,gnomekiss,1,KiSS paper doll viewer for GNOME
games,toys,hollywood,5,fill your console with Hollywood melodrama technobabble
games,toys,kawari8,1,Pseudo AI Shiori module used to create ghosts for Ukagaka
games,toys,lolcat,6,colorful `cat`
games,toys,macopix,1,Mascot Constructive Pilot for X
games,toys,ninix-aya,ERROR,Interactive fake-AI Ukagaka-compatible desktop mascot program
games,toys,oneko,1,cat chases the cursor (now a mouse) around the screen
games,toys,polygen,1,generator of random sentences from grammar definitions
games,toys,purity,1,automated purity testing software
games,toys,randtype,1,semi-random text typer
games,toys,rotix,1,generate rotational obfuscations
games,toys,rss-glx,10,Really Slick Screensavers GLX Port
games,toys,sl,1,Correct you if you type `sl' by mistake
games,toys,tdfsb,2,3D filesystem browser
games,toys,tfortune,1,Fortune Cookies with Tags
games,toys,tfortunes,1,Data files for tfortune
games,toys,vigor,10,nvi with the evil paperclip
games,toys,wallstreet,3,fill your console with Wall Street-like news and stats
games,toys,wordplay,1,anagram generator
games,toys,xaos,1,real-time interactive fractal zoomer
games,toys,xcowsay,1,Graphical configurable talking cow
games,toys,xdesktopwaves,1,Simulation of water waves on the X Window System
games,toys,xfireworks,1,Fireworks in your root window
games,toys,xfishtank,1,turns your X root into an aquarium
games,toys,xflip,1,programs to mirror-image or melt your display
games,toys,xmountains,1,Fractal landscape generator for X
games,toys,xpenguins,1,little penguins walk on your windows
games,toys,xphoon,1,sets the root window to a picture of the moon
games,toys,xplanet,1,planetary body renderer
games,toys,xplanet-images,1,imagery for xplanet
games,toys,xsnow,1,brings Christmas to your desktop
games,toys,xteddy,1,cuddly teddy bear (or other image) for your X desktop
games,typing,dvorak7min,1,typing tutor for Dvorak keyboards
games,typing,gcompris,78,transitional package for gcompris-qt
games,typing,klavaro,1,Flexible touch typing tutor
games,typing,nlkt,2,non-linear keyboard trainer
games,typing,pacvim,1,pacman game concept with vim command
games,typing,randtype,1,semi-random text typer
games,typing,tuxtype,20,Educational Typing Tutor Game Starring Tux
games,typing,typespeed,1,Zap words flying across the screen by typing them correctly
games,typing,xletters,ERROR,Type falling words before they land
games,GNOME,aisleriot,7,GNOME solitaire card game collection
games,GNOME,five-or-more,2,make color lines of five or more length
games,GNOME,four-in-a-row,1,Four in a Row game for GNOME
games,GNOME,gnome-2048,2,sliding tile puzzle game
games,GNOME,gnome-chess,1,simple chess game
games,GNOME,gnome-klotski,2,Klotski puzzle game for GNOME
games,GNOME,gnome-mahjongg,3,classic Eastern tile game for GNOME
games,GNOME,gnome-mines,1,popular minesweeper puzzle game for GNOME
games,GNOME,gnome-nibbles,2,"snake game, up to four players"
games,GNOME,gnome-robots,1,improved old BSD robots game
games,GNOME,gnome-sudoku,1,Sudoku puzzle game for GNOME
games,GNOME,gnome-taquin,5,game to move tiles so that they reach their places
games,GNOME,gnome-tetravex,1,put tiles on a board and match their edges together
games,GNOME,hitori,1,logic puzzle game similar to sudoku
games,GNOME,iagno,1,popular Othello game for GNOME
games,GNOME,lightsoff,2,Light puzzle game
games,GNOME,quadrapassel,2,"popular Russian game, similar to Tetris"
games,GNOME,swell-foop,2,Colored ball puzzle game
games,GNOME,tali,2,sort of poker with dice and less money
education,KDE,artikulate,24,Language learning application
education,KDE,blinken,17,KDE version of the Simon electronic memory game
education,KDE,cantor,ERROR,interface for mathematical applications
education,KDE,kalgebra,ERROR,algebraic graphing calculator
education,KDE,kalzium,80,periodic table and chemistry tools
education,KDE,kanagram,27,jumble word puzzle
education,KDE,kbruch,19,fraction learning aid for KDE
education,KDE,kgeography,24,geography learning aid for KDE
education,KDE,khangman,27,Hangman word puzzle
education,KDE,kig,ERROR,interactive geometry tool
education,KDE,kiten,31,Japanese reference and study aid for KDE
education,KDE,klettres,61,foreign alphabet tutor for KDE
education,KDE,kmplot,20,mathematical function plotter for KDE
education,KDE,ktouch,ERROR,touch typing tutor for KDE
education,KDE,kturtle,19,educational programming environment
education,KDE,kwordquiz,21,flashcard learning program
education,KDE,marble,64,globe and map widget
education,KDE,minuet,60,KDE Software for Music Education
education,KDE,parley,72,vocabulary trainer
education,KDE,rocs,ERROR,graph theory IDE
education,KDE,step,21,interactive physical simulator for KDE
games,KDE,bomber,21,arcade spaceship game
games,KDE,bovo,20,gomoku (five in line) board game
games,KDE,granatier,22,Bomberman clone
games,KDE,kajongg,15,classical Mah Jongg game
games,KDE,kapman,22,Pac-Man clone
games,KDE,katomic,21,atomix puzzle game
games,KDE,kblackbox,20,Black Box puzzle game
games,KDE,kblocks,22,falling blocks game
games,KDE,kbounce,23,Jezzball arcade game
games,KDE,kbreakout,22,ball and paddle game
games,KDE,kdiamond,25,three-in-a-row game
games,KDE,kfourinline,21,Connect Four game
games,KDE,kgoldrunner,24,Lode Runner arcade game
games,KDE,kigo,25,go game
games,KDE,killbots,21,port of the classic BSD console game robots
games,KDE,kiriki,20,Yahtzee dice game
games,KDE,kjumpingcube,20,simple tactical game
games,KDE,klickety,21,SameGame puzzle game
games,KDE,klines,21,color lines game
games,KDE,kmahjongg,25,mahjongg solitaire game
games,KDE,kmines,21,minesweeper game
games,KDE,knavalbattle,21,battleship board game
games,KDE,knetwalk,21,wire puzzle game
games,KDE,knights,ERROR,chess interface for the KDE Platform
games,KDE,kolf,21,miniature golf game
games,KDE,kollision,20,simple ball dodging game
games,KDE,konquest,20,simple turn-based strategy game
games,KDE,kpat,29,solitaire card games
games,KDE,kreversi,21,reversi board game
games,KDE,kshisen,22,Shisen-Sho solitaire game
games,KDE,ksirk,ERROR,Risk strategy game
games,KDE,ksnakeduel,21,snake race game
games,KDE,kspaceduel,20,SpaceWar! arcade game
games,KDE,ksquares,20,Dots and Boxes game
games,KDE,ksudoku,22,Sudoku puzzle game and solver
games,KDE,ktuberling,64,stamp drawing toy
games,KDE,kubrick,21,game based on Rubik's Cube
games,KDE,lskat,27,Lieutnant Skat card game
games,KDE,palapeli,22,jigsaw puzzle game
games,KDE,picmi,21,Number logic game
science,all,science-biology,1,Debian Science Biology packages
science,all,science-chemistry,1,Debian Science Chemistry packages
science,all,science-dataacquisition,1,Debian Science data acquisition packages
science,all,science-datamanagement,1,Debian Science Data Management packages
science,all,science-economics,1,Debian Science Economics packages
science,all,science-electrophysiology,1,Debian Science packages for Electrophysiology
science,all,science-engineering,1,Debian Science Engineering packages
science,all,science-financial,1,Debian Science financial engineering and computational finance
science,all,science-geography,1,Debian Science Geography packages
science,all,science-geometry,1,Debian Science geometry packages
