Tags,Package,Name,Verdict,Useful?/Replayable?,Best?,REPL-less?,GUI?,Windowed?,Starts fast?,Runs fast?,Install Cost,Home Cost,Rank,Notes
games PrisonPC,kcheckers,Checkers,FAIL,,No,,,,,,1,,32253,"Cannot make the window bigger.  Looks ugly.  Plays ugly."
games KDE,bovo,gomoku,FAIL,,,,,,,,20,,12433,"1P vs AI.  No 2P hotseat.  Not interesting.  Prefer four-in-a-row (Connect 4)."
games KDE,kapman,Pac-Man clone,FAIL,,No,,,,,,22,,11548,"Only has one board/map.  Works, but utterly joyless and unfun.  Unless this is a LOT better, it prefer browser-based one.  https://itch.io/games/platform-web/tag-pacman  https://2029retro.itch.io/amongdots"
games KDE,kblackbox,,FAIL,,,,,,,,20,,12555,"I have no idea how to play this.  I think this is sort of like a cross between mastermind and sudoku.  Prefer gnome-mastermind and gnome-sudoku."
games KDE,kdiamond,Match 3,PASS,Yes?,Yes?,Yes,Yes,Yes,Yes,Yes,25,,11869,"This is not bejeweled.  It's more similar to swell-foop.  The 'zoo' theme looks pretty nice."
games KDE,kjumpingcube,Go-like game,FAIL,,,,,,,,20,,12624,"This is simple Go-like turn-based strategy game.  Really nice gameplay BUT only has 1P vs AI, no 2P hotseat."
games KDE,ksquares,Go-like game,FAIL,,,,,,,,20,,12379,"This is simple Go-like turn-based strategy game.  The concept is interesting, but it is a bit confusing.  When playing MP hotseat, it is not clear whose turn it is.  This is enough to make it fail IMO."
games KDE,picmi,Sudoku-like game?,FAIL,,,,,,,,21,,11987,"Too confusing to understand how to play."
games PrisonPC,littlewizard,,FAIL,,,,,,,,1,,29836,"Looks super ugly and shit."
games board,dossizola,,FAIL,,,,,,,,2,,32022,"UGLY AS FUCK."
games PrisonPC,dwarf-fortress,,FIXME,Yes?,Yes?,,,,,,11,,22456,"This is a SUPER popular game, but it is not easy to get into.  Need some sort of intro?  Is not starting under PrisonPC, but works on normal desktop.  The error is coming from python: TypeError: expected str, bytes or os.PathLike object, not NoneType."
games strategy,dopewars,Drug Wars,FIXME,Yes?,,Yes,Yes,Yes,Yes,Yes,9,,36015,"Currently has an install-time problem due to ISO 8859-1 in .desktop file.  https://bugs.debian.org/1010741"
games strategy,ironseed,,FAIL,,No,,,,,,11,,30677,"This might be interesting, but it is IMPOSSIBLE to understand what to do without a game manual.  Also it runs at a fixed 640x480 resolution and has a REALLY UGLY font.  It claims to be like Star Control 2, and we can already ship that (uqm).  Prefer uqm."
games arcade,wordwarvi,Defender/Choplifter clone,FAIL,Yes?,,Yes,Yes,Yes,Yes,Yes,9,,42034,"Vector art style looks good, but the theme is a little too on-the-nose (see also 'xbill').  Gameplay was hard enough that I could pick up a guy but not work out how to get him back to safe base."
games puzzle,pushover,,PASS?,Yes?,Yes,Yes,Yes,Yes,Yes,Yes,12,,29945,"Pretty good animation.  You move blocks around and then hit 'go' and they knock one another down.  Gameplay is slow.  Lots of levels."
games board,morris,Nine Men's Morris,FAIL,No?,,,,,,,1,,31294,"Execution is fine, but there is no Help>Manual to teach the rules.  https://en.wikipedia.org/wiki/Nine_men%27s_morris"
games arcade,monster-masher,,FAIL,,,,,,,,3,,40860,"Installs but does not start: 'Valid key file could not be found in search dirs'.  This is a generic glib error.  I don't know what the REAL problem is."
games puzzle,qxw,,FAIL,,,,,,,,1,,41612,"Unusable because conflicts with prisonpc-ersatz-dictionaries-common (needs /usr/share/dict/words)."
games board,mancala,,FAIL,Yes,No,Yes,Yes,Yes,Yes,Yes,1,,29769,"1P vs AI only -- no 2P hotseat.  No game rule variations.  Cannot maximize window.  Ugly toolkit.  A browser-based version is VASTLY preferable.  https://itch.io/games/platform-web/tag-mancala"




--------------------,--------------------,NEW EDU,----,----,----,----,----,----,----,----,----,----,----,--------------------
education KDE,artikulate,Pronunciation trainer,FAIL,,,,,,,,24,,11067,"Installs but fails to start (no window appears).  Reason unclear.  Missing both sqlite and vorbis drivers?  Cannot work out how to fix latter."
-,anki,Flash Card trainer,FAIL,,,,,,,,,,,"Includes browser engine w/o security support (libqt5webenginecore5)."
games education,granule,Flash Card trainer,FAIL,Yes?,No,Yes,Yes,Yes,Yes,Yes,2,,39280,"Nonstandard save file format, but can import/export standard formats.  UX is a bit janky and non-obvious.  e.g. when an error popup appears, the main app window disappears until you dismiss the error.   FIXME: GTK2 -- will go away.  ABANDONWARE SINCE 2008!  Would prefer Anki, but that includes an insecure browser.  Reluctantly, I have to choose kwordquiz over this, just due to bugginess."
education language primaryschool secondaryschool KDE,kwordquiz,Flash Card trainer,PASS,Yes?,Yes,Yes,Yes,Yes,Yes,Yes,21,,11429,"Nonstandard save file format, but can import/export standard formats.  DOES NOT have essential feature https://en.wikipedia.org/wiki/Leitner_system a.k.a. https://en.wikipedia.org/wiki/Spaced_repetition.  Has multiple-choice and fill-in-blanks modes.  Clearer UX than granule.  Example deck (e.g. US state capitals) is included.  Would prefer Anki, but that includes an insecure browser.  Would prefer Anki, but that includes an insecure browser.  FIXME: there is a SHITLOAD of additional example flashcard decks available via Ctrl+G, but it needs direct net access.  It looks like this nowadays ends up talking to https://store.kde.org/browse?cat=216 which is SPECIFICALLY DESIGNED to stop me batch-downloading content.  It would be pretty nice if we could get these dumped into an in-house -addons package, BUT right now it's just Too Fucking Hard due to the KDE dickheads cockblocking me."
science robotics,orca,Accessibility,FAIL,,,,,,,,14,,2299,"Per-user toggling of orca via 'Applications > Settings > Accessiblity > Enable assistive technologies' actually works by editing https://github.com/cyberitsolutions/bootstrap2020/blob/main/debian-11-PrisonPC/xfce/xfce4-session.xml -- which we lock.  Since we cannot enable this per-user, for now, just give up on orca entirely."
science nanoscale-physics physics viewing,fityk,Curve Fitting tool,FAIL,No,,,,,,,7,,22914,"This is some kind of math thing.  I don't understand how to use this, so I'm calling it 'not useful' for now."
education mathematics,euler,,FAIL,No,,,,,,,1,,28159,"Broken.  Fails to start with a font problem.  The .desktop is broken and has no Exec= line at all.  Hasn't had an update in Debian in over 7 years.  Fuck this.  FIXME: GTK2 -- will go away.  "
games toys education preschool,bambam,,FAIL,No,,,,,,,12,,23350,"Full-screen app that makes each keypress or mouse press make a noise and flashes a letter/animal onscreen.  Not interesting to us, even for remedial learning detainees."
games education education preschool,gamine,,FAIL,No,,,,,,,12,,25012,"Supposed to be a drawing app for toddlers.  I can open it, and it plays music, but I can't draw.  Fuck it."
education primaryschool,qabcs,,FAIL,No,No,,,,,,35,,54046,"This is like gcompris-qt / pysiogame, except it is only a single applet.  Waste of time."
education primaryschool,ulcc,,FAIL,No,No,,,,,,4,,42083,"This is like gcompris-qt / pysiogame, except it is only a single applet.  Waste of time."
education video,stopmotion,Video Editor,FAIL,No,,,,,,,3,,22834,"I do not know how to use this.  I think this is only useful if you have a DSC camera hooked up.  Do we want inmates editing videos in the first place?"
education language,verbiste-gnome,French/Italian Dictionary,FAIL,,No,,,,,,1,,55035,"This works but we should just add Wiktionary to the allow list."
education language,collatinus,Latin Dictionary,FAIL,,No,,,,,,4,,38962,"we should just add Wiktionary to the allow list.   NOTE: Pulls in .dvju viewer app (djview4) which we do not want."
education mathematics ,xmabacus,Abacus,FAIL,,No,,,,,,2,,35740,"Works, but XAW, so really really ugly (1992-era Sun ugly).  If we are going to offer this, do it in a browser app."
education mathematics ,xabacus,Abacus,FAIL,,,,,,,,1,,47413,"Works, but Xlib, so really really ugly (1992-era Sun ugly).  If we are going to offer this, do it in a browser app."
science meteorology,metview,,FAIL,,,,,,,,110,,34890,"VERY LARGE!  Fails to start because dpkg is not installed (/usr/bin/metview: line 20: dpkg-architecture: command not found).  Some kind of meteorology thing.  I strongly doubt this is useful to us."
science robotics,vtk7,Data Visualization,FAIL,No,,,,,,,59,,18104,"Visualizes science data stuff.  Not interesting to us.  https://vtk.org/vtk-in-action/#image-gallery"
science robotics,octovis,,FAIL,,,,,,,,1,,35077,"Not useful to us."


education astronomy,gpredict,,FAIL,?,,,,,,,,,,"Needs 'TLE data' from 'internet or local files'  https://github.com/csete/gpredict/"
education astronomy secondaryschool physics games simulation   ,lightspeed,,FAIL,No,,,,,,,,,,"Does only one job; needs a .3ds/.prj/.lwo 3D model file to do it.  We only do .XDG?"
education astronomy,xtide,Tide Predictor,FAIL,No,,,,,,,,,,"With all Debian's datasets, only shows tides for USA, England, and some pacific islands?"
education astronomy,sunclock,,FAIL,No,,,,,,,,,,"Shows a mercator projection with colored timezones and a day/night shadow.  No .desktop file."
education astronomy,xplanet,,FAIL,No,,,,,,,,,,"Draws under mandatory desktop backgrounds (xfdesktop4), therefore useless.  No .desktop file."
games toys,floatbg,,FAIL,No,,,,,,,,,,"Draws under mandatory desktop backgrounds (xfdesktop4), therefore useless."
games toys,xdesktopwaves,,FAIL,No,,,,,,,,,,"Draws under mandatory desktop backgrounds (xfdesktop4), therefore useless."
games toys,xfireworks,,FAIL,No,,,,,,,,,,"Draws under mandatory desktop backgrounds (xfdesktop4), therefore useless."
education science chemistry nanoscale-physics,avogadro,Chemical Viewer,FAIL,No,?,,,,,,35,,14650,"Lets you view and construct molecules in 3D space.  There are several of these.  Is this the best one?  Qt5."
education science chemistry,pymol,Chemical Viewer,FAIL,No,,,,,,,17,,9411,"Lets you view and construct molecules in 3D space.  There are several of these.  Is this the best one?  Qt5."
education chemistry secondaryschool science chemistry,chemtool,Chemical Viewer,FAIL,No,,,,,,,14,,19556,"Lets you view and construct molecules in 2D space.  There are several of these.  Is this the best one?  FIXME: GTK2 -- will go away."
science chemistry nanoscale-physics,gdis,Chemical Viewer,FAIL,,,,,,,,2,,22048,"Lets you view and construct molecules in 2D space.  There are several of these.  Is this the best one?  FIXME: GTK2 -- will go away."
science chemistry education,gchempaint,,FAIL,,,,,,,,17,,20558,"Lets you view and construct molecules in 2D space.  There are several of these.  Is this the best one?  FIXME: GTK2 -- will go away.  NOTE: also pulls in gnumeric (even though we prefer LibreOffice Calc)."
science chemistry nanoscale-physics physics,v-sim,Chemical Viewer?,FAIL,No,,,,,,,2,,29066,"Lets you view and construct molecules in 2D space.  There are several of these.  Is this the best one?  GTK3."
science chemistry nanoscale-physics physics,drawxtl,Chemical Viewer?,FAIL,No,,,,,,,3,,26390,"Lets you view and construct molecules in 2D space.  There are several of these.  Is this the best one?  Xaw, so almost certainly the worst one."
science chemistry,gamgi,Chemical Viewer?,FAIL,No,,,,,,,,,,"Lets you view and construct molecules in 2D space.  There are several of these.  Is this the best one?"
science meteorology nanoscale-physics physics viewing,gwyddion,Science Data Viewer,FAIL,No,,,,,,,5,,17398,"This is for looking at recordings from an electron microscope.  Not useful to us."
science engineering mathematics viewing,gmsh,Chemical/CAD viewer?,FAIL,No,,,,,,,28,,13573,"I don't really know what this is, but it does not look useful to us."
games card,gsalliere,,FAIL,,,,,,,,,,,"Not interesting. Bridge stuff.  https://screenshots.debian.net/package/gsalliere"
games card,pescetti,,FAIL,,,,,,,,,,,"Not interesting. Bridge stuff.  Only people born before the 1970s poker boom give a shit about bridge."
games card,tenace,,FAIL,,,,,,,,5,,25820,"Not interesting. Bridge stuff.  Only people born before the 1970s poker boom give a shit about bridge."
games card,openpref,Preferans,FAIL,,,,,,,,1,,29176,"Bridge-like card game from Russia.  Ugly UI.  1-2 player hotseat.  Rule screen just says 'go read wikipedia, tard'."
games minesweeper GNOME,gnome-mines,Minesweeper,PASS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,,4209,"Shrug"
games minesweeper KDE,kmines,Minesweeper,FAIL,,,,,,,,21,,9483,"Prefer gnome-mines"
games board card finest minesweeper puzzle,ace-of-penguins,,FAIL,,,,,,,,1,,11187,"Ugly!  Prefer gnome-mines and aisleriot"
games GNOME,gnome-nibbles,Snake,PASS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2,,4288,"shared keyboard competetive multiplayer, vs. AI, changing maps, looks OK"
games KDE,ksnakeduel,Snake,FAIL,,,,,,,,21,,13316,"Worse than gnome-nibbles.  1P only.  Boring.  Low FPS."
games arcade,snake4,Snake,FAIL,,No,,,,,,1,,28331,"Prefer gnome-nibbles, which has more features."
games arcade,xtron,Snake,FAIL,,,,,,,,1,,35826,"Super ugly."
games arcade,vonsh,Snake,FAIL,No,No,,,,,,9,,47279,"Pixel art looks OK, but gameplay is too slow and has no variation.  Boring."
games GNOME,gnome-robots,Robots,FAIL,No,,Yes,Yes,Yes,Yes,Yes,1,,4672,"Crashes when you hit 'random teleport'???  Only happening in PrisonPC.  Otherwise, OK, but poor replay value."
games KDE,killbots,Robots,FAIL,No,No,,,,,,21,,12556,"Not as good as gnome-robots just because it's KDE not GTK, so all the menus are needlessly complicated and stuff."
games card,yahtzeesharp,Yahtzee (Dice Poker),FAIL,,,,,,,,21,,46964,"Ugly.  No help/rule explanation.  Save/Log game menu crashed."
games GNOME,tali,Yahtzee (Dice Poker),PASS?,,,,,,,,2,,4994,"Confusing, but comes with a manual.  Allows multiplayer hotseat and/or AI opponents.  Definitely better than yatzeesharp, at least."
games KDE,kiriki,Yahtzee (Dice Poker),FAIL,,No,,,,,,20,,12028,"Not as good as GTK one."
games GNOME,gnome-taquin,15-puzzle,FAIL,No,Yes,Yes,Yes,Yes,Yes,Yes,5,,4919,"Sliding blocks with pieces of a cat photo; you have to reconstruct the photo.  Cannot use your own photos.  Poor replay value.    NOTE: gcompris-qt also has this under Penguin > Logic > The fifteen game."
education logic-games games card finest,lmemory,Memory,FAIL?,No,No?,,,,,,1,,21268,"Plays basically OK, but the icons are fugly, and the replay value is poor.  Available in gcompris-qt (Dinosaur > Memory Game with images)"
games GNOME,five-or-more,,FAIL,No,,,,,,,2,,4254,"BORING!"
games toys,oneko,Neko,PASS?,,Yes,Yes,Yes,Yes,Yes,Yes,1,-,15888,"Works fine, but no way to quit it except to log out.  Also changes the mouse cursor."
education graphics mathematics games toys,xaos,,PASS,Yes,Yes,Yes,Yes,Yes,Yes,No?,1,-,15100,"Has an 'autopilot' mode that makes it sorta like animated wallpaper.  Tough on CPU -- will use up to 4 cores, I think?"
education physics,planets,,FAIL,,,,,,,,1,,18921,"Proof-of-concept quality; does not really 'do' anything."
games card finest,pokerth,,FAIL?,,,,,,,,29,,14898,"I guess plays OK?  Offers network play, but seems to crash entire OS when you try it.  Allows play against AI.  Does not support hotseat multiplayer.  Maximize/fullscreen is broken. KDE, or at least Qt (which we do not like)."
games card,xskat,Skat,FAIL,,,,,,,,,,,"Fails to start because needs legacy (1980s) X font subsystem (not Xft).  Not worth considering further."
education music,gtick,Metronome,PASS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,-,15972,"Narrow use case, but replaces the need for a physical metronome.  Cheap and handy so fuck it."
science dataacquisition,jaaa,Oscilloscope?,FAIL,,,,,,,,1,,16988,"Did not Just WorkTM with pulseaudio-based desktop.  Broke the PA output until I closed jaaa.  I suppose we could investigate further if we cared."
games toys,xpenguins,,FAIL,,,,,,,,1,,18999,"Doesn't refresh properly, so every penguin leaves a fugly trail.  No .desktop launcher.  Fuck this."
games toys,xfishtank,,FAIL,,,,,,,,1,,20125,"Doesn't work at all (with xfdesktop4)"
games toys,xsnow,,FAIL,No,,,,,,,1,,20159,"UGLY UGLY UGLY UGLY"
games toys,xphoon,,FAIL,,,,,,,,1,,26068,"Doesn't work at all (with xfdesktop4)"
education music,nted,Score Editor,FAIL,Yes,,No!,,,,,1,,18683,"The 'lyrics editor' section lets you write shell scripts as text/plain."
games toys,xteddy,,FAIL,No,,,,,,,1,,22240,"No .desktop launcher.  Can load custom photo, but really, that's no better than just opening it in the browser."
games GNOME,gnome-tetravex,TetraVex,PASS,,,,,,,,1,,4800,"Used to look ugly; doesn't anymore.  Therefore pass?"
games GNOME,swell-foop,,PASS,,,,,,,,2,,4797,"Looks good, crisp animation, small size, intuitive gameplay -- keep it."
games KDE,klickety,,FAIL,,,,,,,,21,,11428,"Prefer swell-foop."
games board finest,gtkatlantic,Monopoly,FAIL,,,,,,,,1,,24725,"Designed for network play.  Can't easily start a local server (even with 'monopd' installed).  Probably can't start do multiplayer hotseat."
games simulation,billard-gl,,,,,,,,,,1,,20144,XXXX
science neuroscience-cognitive,xmedcon,Medical Image converter,FAIL,No,,,,,,,1,,15683,"I think this is too specialized for inmates."
science viewing,imview,Image viewer,FAIL,,,,,,,,1,,16194,"Prefer chromium (handles at least PDF/JPG/PNG/SVG)"
education logic-games preschool KDE,blinken,Simon Says,FAIL,No,,,,,,,26,,11857,"This is an incredibly boring and repetetive game."
education science chemistry,easychem,,FAIL?,,No?,,,,,,1,,21519,"Basically works but VERY unintuitive.  Non-standard document format (.ech). Prefer LODraw/Inkscape/Dia?"
science dataacquisition viewing,g3data,Graph Analyzer,FAIL?,,,,,,,,1,,22319,"Basically works.  Really cool gimmick, but I don't think inmates really need it."
science dataacquisition,xyscan,Graph Analyzer,FAIL,,,,,,,,8,,24942,"Does same job as g3data; a job we do not care about."
games board,quarry,Go (board game),PASS?,Yes,No,,,,,,1,,23029,"Supports AI play iff 'gnugo' is installed.  Basically works, but overly complicated UI.  FIXME: GTK2 -- will go away."
education logic-games games board finest,cgoban,Go (board game),FAIL,Yes,No!,,,,,,1,,14415,"Supports AI play iff 'gnugo' is installed.  UGLY!  UI heavily geared towards online multiplayer.  2P hotseat support."
games board,qgo,Go (board game),PASS?,Yes,No,Yes,Yes,Yes,Yes,Yes,3,,20709,"Supports AI play iff 'gnugo' is installed.  Main app window assumes net play (New Game button works, though).  Better toolkit than cgoban.  Least bad choice of a set of bad choices?"
games KDE,kigo,Go (board game),PASS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,25,,12453,"Supports AI play iff 'gnugo' is installed.  MUCH more polished than the alternatives."
education music,lingot,Musical instrument tuner,PASS?,,,,,,,,1,,13557,"Looks like it would actually work if I had a mic connected?  Defaults to ALSA.  Can change to PA in preferences."
games arcade finest,epiphany,Boulder Dash clone,PASS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10,,21923,"Looks real ugly, but plays OK I guess.  Prefer https://boulder-dash.com/boulder-dash-online-game/"
games arcade shootemup,xgalaga,Galaga clone,FAIL,,,,,No,,,1,,24070,"Exiting after fullscreen fucks up.  Kinda ugly, no keyboard control?  Causes a problem in our popcon code because galaga:hyperspace.desktop is parsed wrong."
games arcade shootemup,xgalaga++,Galaga clone,FAIL,,,,,No,,,1,,28452,"Slightly better than xgalaga, but still bad in the same ways."
games arcade,wing,Galaga clone,FAIL,,,,,,,,1,,25228,"Not tested because needs extra-special workarounds for chmod-scary-binaries.conf"
games arcade shootemup,criticalmass,Galaga clone,FAIL,,No,,,,,,12,,27540,"Fullscreen by default, but adding '+fullscreen 0' to launch options fixes that.  Mouse is fucked in boot-test.  Basically plays OK, but no real Unique Selling Point."
games arcade shootemup,xinv3d,Space Invaders 3D,FAIL?,Yes?,Yes?,Yes,Yes,Yes,Yes,No?,1,,32307,"Looks cool, but proof-of-concept level of polish.  Unplayable frame rate on boot-test.  No .desktop launcher.  Errors on stderr about missing fonts - probably an X font system issue."
games arcade shootemup,barrage,,FAIL?,Yes,Yes,Yes,Yes,No,Yes,Yes,9,,27505,"Fullscreen a bit broken.  Works fine otherwise.  Very basic.  This seems like something that would be much better done as a web app."
games platform,blobandconquer,,FAIL,,,,,,,,27,,30958,"Deeply unintuitive default controls.  I guess plays OK, but lacks polish.  I'm on the fence, tentatively leaning towards 'fuck this."
games arcade shootemup,dangen,,PASS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2,,29727,"Plays OK.  Novel controls.  Basic vector graphics.  Not amazing, but small so who cares?"
games platform,ddnet,,FAIL,,,,,,,,16,,26760,"Multiplayer-only network-only racing game.  Not interesting."
games platform,ddnet-tools,,FAIL,,,,,,,,,,,"Multiplayer-only network-only racing game.  Not interesting."
games arcade shootemup,excellent-bifurcation,,PASS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2,-,34349,"Plays OK.  Novel gameplay.  No maximize option.  No other problems."
games arcade finest shootemup,funnyboat,,PASS,Yes,Yes,Yes,Yes,No,Yes,Yes,20,-,24716,"Kind of like Flappy Bird.  OK I guess.  Install cost is a bit shit for what you get.  Good candidate for 'move into web browser'."
games arcade shootemup,geki2,Raiden clone,FAIL,,No,,,,,,1,,31174,"UGLY UGLY UGLY UGLY"
games arcade shootemup,geki3,Darius clone,FAIL,,,,,,,,1,,31175,"UGLY UGLY UGLY UGLY"
games arcade shootemup,gravitywars,Gravity Force clone,FAIL,,,,,,,,2,,34489,"Unplayable because play speed is way too fast"
games arcade finest,a7xpg,,FAIL,No,,,,,,,13,,25932,"Kenta Cho.  Boring.  Prefer gnome-nibbles and solarwolf."
games arcade shootemup,gunroar,Raiden-like,PASS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,15,-,26864,"Kenta Cho.  Abstract 3D raiden-like game with score-attack focus.  Plays OK.  Not obvious how to actually start playing, but otherwise OK."
games arcade finest shootemup,parsec47,Raiden-like,PASS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,14,-,29205,"Kenta Cho.  Abstract 3D raiden-like game with score-attack focus.  Plays OK."
games arcade shootemup,rrootage,,PASS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,12,,30676,"Kenta Cho.  Abstract 3D bullet hell boss-rush.  Basically OK."
games arcade shootemup,titanion,,,,,,,,,,14,,30813,"Kenta Cho."
games arcade shootemup,tumiki-fighters,,,,,,,,,,14,,32243,"Kenta Cho."
games arcade shootemup,val-and-rick,,,,,,,,,,12,,34024,"Kenta Cho.  Top-scrolling shmup.  Prefer kobodeluxe.  Gimmicks not obvious, needs help screen."
games arcade shootemup,mu-cade,,,,,Yes,Yes,Yes,Yes,Yes,15,,35373,"Kenta Cho.  Mouse control broken in boot-test!"
games arcade shootemup,ii-esu,,FAIL,,,,,,,,10,,32728,"Abstract 3D arcade shooter LIKE Kenta Cho's games.  Mouse-conrtrolled, but you cannot move the mouse out of the play area, or it pauses.  No score listed?  These are enough to tip the balance towards rejection."
games arcade shootemup,ketm,,FAIL,,,,,,,,3,,29934,"UGLY UGLY UGLY UGLY"
games arcade shootemup,kraptor,,FAIL,,,,,,,,10,,26890,"UGLY"
games arcade finest shootemup,marsshooter,SpaceWar! clone,FAIL,,,,,,,,71,,23869,"Meant for couch co-op.  2-player keyboard sharing.  Big install size for what you get.  Really just a 2D arena shooter.  Prefer liero.  Gravity Wars crossed movement & with deathmatch/CTF modes.  Has tutorial, good graphics, medium replay.  2P or AI opponent.  CPU stays 200% on H81."
games KDE,kspaceduel,SpaceWar! clone,FAIL,,,,,,,,20,,12625,"Ugly.  Not fun.  1P vs AI or 2P keyboard sharing."
games arcade shootemup,noiz2sa,,,,,,,,,,17,,30427,"Mouse broken in boot-test?"
games arcade finest shootemup,open-invaders,Space Invaders clone,FAIL,,No,,,,,,4,,19698,"UGLY UGLY UGLY UGLY"
games arcade shootemup,overgod,,PASS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2,,29199,"Pixel-y 2D space arena shooter.  Multiplayer co-op keyboard sharing.  Only supports 800x600 resolution, so have to really squint!  Only 10 levels(?) but rapidly gets difficult."
games arcade shootemup,projectl,,,,Yes,Yes,Yes,Yes,Yes,Yes,10,,31953,"Abstract 3D LIKE Kenta Cho's games.  Novel gameplay.  Fixed window size is a bit annoying."
games arcade shootemup,rockdodger,,FAIL,,,,,No,,,9,,32117,"Ugly.  Starts fullscreen.  Does not restore resolution on exit."
games arcade finest shootemup,sopwith,Sopwith,PASS?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2,,24022,"What steam calls 'intentionally_difficult_controls' tag.  Otherwise OK.  Small window size.  The -2 option claims to double it, but does not work?  Offers network play which does not work.  NO LOCAL MULTIPLAYER SUPPORT!"
games arcade,airstrike,Sopwith clone,FAIL?,Yes,No?,,,,,,3,,30912,"Compared to 'sopwith', better graphics, worse gameplay!"
games arcade shootemup,triplane,Sopwith clone,,,,Yes,Yes,Yes,Yes,Yes,10,,41924,"This LOOKS really interesting, but I could not actually work out how to start flying.  I created a pilot, then assigned the pilot to a screen, but then got another menu with no 'go' button..."
science mathematics,magnus,Screen Magnifier,PASS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,-,19684,"Works fine.  By default starts on every login; I have disabled this in https://github.com/cyberitsolutions/bootstrap2020/blob/main/debian-11-PrisonPC.hooks/customize90-delete-bad-files.glob"
games finest platform,alex4,Alex the Alligator,PASS,Yes,Yes(ish),Yes,Yes,Yes,Yes,Yes,2,,19814,"Game Boy-ish Mario-ish platformer.  No save support!  Not sure how many levels.  Otherwise fine.  Good value for its install footprint."
games platform,ballz,,PASS,Yes?,Yes,Yes,Yes,Yes,Yes,Yes,1,,24641,"One-button platformer with a story/campaign and mission unlocks.  Only 19 missions total.  Good candidate for 'move into the browser'.  (I think itch.io has dozens of nearly identical games.)"
games finest rpg,flare-game,,,,,,,,,,130,,89511,"LARGE!  Diablo clone.  Didn't play long enough to tell if it has a plot, or is just proof-of-concept.  Gameplay & graphics are solid.  Big footprint."
games platform,xjump,,,,,,,,,,1,,32309,"Top-scrolling infinite tower platformer.  Hard but fun.  NOT FUN if high scores are wiped!    Good candidate for 'move into the browser'."
games platform,gnujump,,FAIL,,,,,,,,10,,34467,"Like xjump, but adds REALLY REALLY annoying sound effects and an optional Bill Gates / Windows theme."
games puzzle,vodovod,,,,,,,,,,9,,28426,"Pipe Mania clone.  Easy to win, hard to get high scores."
games strategy,crimson,Battle Isle clone,,,,,,,,,9,,28568,"Top-down tank/infantry turn-based strategy w/ hex tiles.  Has tutorial.  Has several built-in scenarios, one built-in campaign with backstory.  1990s-quality graphics."
games arcade,freegish,Gish,,,,,,,,,3,,29807,"2D platformer with novel gameplay mechanics.  Menus don't work properly (FIXME: retest).  Gets very hard rapidly.  CPU constant 100% to 200%."
games adventure,drascula,,FAIL,No,,,,,,,70,,23156,"Comedy SCUMM (point & click) game.  VERY VERY BAD English-language voice overs.  Artwork is merely bad."
games rpg,adonthell-data,,,,,,,,,,23,,25248,"RPG a la SNES-era Final Fantasy.  Unreadable font.  Python REPL, but so broken I couldn't test it properly. (FIXME: retest in Debian 11)"
games arcade,orbital-eunuchs-sniper,,FAIL,No,,,,,,,12,,31884,"fun for ten seconds, then boring forever.  Doesn't get harder over time.  Not worth install footprint."
games racing,pyracerz,,FAIL,No,,,,,,,19,,31967,"even more annoying than unpopular game 'trophy' it was meant to replace"
games strategy,teg,RISK clone,FAIL,,,,,,,,3,,23530,"Board game.  AI play supported.  Kinda boring without any sound effects.  Retested on Debian 11: hangs when trying to start local server???"
games board strategy,xfrisk,RISK clone,FAIL,,,,,,,,1,,26063,"No .desktop.  Client wants a server IP address as argument.  How even launch this?  Based on https://screenshots.debian.net/package/xfrisk ugly enough to not be worth investigating further."
games arcade shootemup,wordwarvi,,,,,,,,,,9,,38982,"Side-scrolling shmup with vector display style.  UNIX / vi themed."
games tetris,xwelltris,,FAIL,,,,,,,,2,,29612,"Probably OK.  Fixed resolution.  OK but not great gameplay.  Bit buggy, e.g. no window title.  Balance tips slightly towards fail."
games strategy,pax-britannica,,FAIL?,No,,,,,,,9,,31891,"interesting one-button gameplay mechanic, but still boring.  1-4 player same keyboard"
games arcade finest sport,tuxpuck,Shufflepuck Cafe clone,FAIL,No,,,,,,,2,,22628,"No campaign & only 2 opponents, so kinda boring.  Hard.  No hotseat multiplayer.  Original is available online and much better: https://archive.org/embed/msdos_Shufflepuck_Cafe_1989"
games arcade racing,antigravitaattori,,FAIL,No,,,,,,,4,,27491,"awful 2d side-scrolling racing game for 4 local players.  Too hard to control."
games sport,freetennis,,FAIL,,,,,,,,15,,34405,"Too fucking hard to play."
games arcade shootemup,gravitywars,Gravity Force clone,FAIL,No,,,,,,,2,,34489,"Too glitchy.  The play speed randomly changes, making me crash.  (Lunar Lander-style gameplay)"
